Counter,T (K),D (m2/s)
0,303.15,3E-14
0.1,303.25,3.0118E-14
0.2,303.35,3.02364E-14
0.3,303.45,3.03551E-14
0.4,303.55,3.04743E-14
0.5,303.65,3.05938E-14
0.6,303.75,3.07137E-14
0.7,303.85,3.0834E-14
0.8,303.95,3.09547E-14
0.9,304.05,3.10758E-14
1,304.15,3.11973E-14
1.1,304.25,3.13192E-14
1.2,304.35,3.14415E-14
1.3,304.45,3.15642E-14
1.4,304.55,3.16873E-14
1.5,304.65,3.18107E-14
1.6,304.75,3.19346E-14
1.7,304.85,3.20589E-14
1.8,304.95,3.21836E-14
1.9,305.05,3.23086E-14
2,305.15,3.24341E-14
2.1,305.25,3.256E-14
2.2,305.35,3.26863E-14
2.3,305.45,3.2813E-14
2.4,305.55,3.29401E-14
2.5,305.65,3.30676E-14
2.6,305.75,3.31956E-14
2.7,305.85,3.33239E-14
2.8,305.95,3.34526E-14
2.9,306.05,3.35818E-14
3,306.15,3.37114E-14
3.1,306.25,3.38414E-14
3.2,306.35,3.39718E-14
3.3,306.45,3.41026E-14
3.4,306.55,3.42338E-14
3.5,306.65,3.43655E-14
3.6,306.75,3.44976E-14
3.7,306.85,3.46301E-14
3.8,306.95,3.4763E-14
3.9,307.05,3.48964E-14
4,307.15,3.50301E-14
4.1,307.25,3.51643E-14
4.2,307.35,3.5299E-14
4.3,307.45,3.5434E-14
4.4,307.55,3.55695E-14
4.5,307.65,3.57054E-14
4.6,307.75,3.58417E-14
4.7,307.85,3.59785E-14
4.8,307.95,3.61157E-14
4.9,308.05,3.62533E-14
5,308.15,3.63914E-14
5.1,308.25,3.65299E-14
5.2,308.35,3.66689E-14
5.3,308.45,3.68082E-14
5.4,308.55,3.69481E-14
5.5,308.65,3.70883E-14
5.6,308.75,3.7229E-14
5.7,308.85,3.73702E-14
5.8,308.95,3.75117E-14
5.9,309.05,3.76538E-14
6,309.15,3.77963E-14
6.1,309.25,3.79392E-14
6.2,309.35,3.80825E-14
6.3,309.45,3.82264E-14
6.4,309.55,3.83706E-14
6.5,309.65,3.85154E-14
6.6,309.75,3.86605E-14
6.7,309.85,3.88061E-14
6.8,309.95,3.89522E-14
6.9,310.05,3.90988E-14
7,310.15,3.92457E-14
7.1,310.25,3.93932E-14
7.2,310.35,3.95411E-14
7.3,310.45,3.96895E-14
7.4,310.55,3.98383E-14
7.5,310.65,3.99876E-14
7.6,310.75,4.01373E-14
7.7,310.85,4.02875E-14
7.8,310.95,4.04382E-14
7.9,311.05,4.05894E-14
8,311.15,4.0741E-14
8.1,311.25,4.08931E-14
8.2,311.35,4.10456E-14
8.3,311.45,4.11986E-14
8.4,311.55,4.13521E-14
8.5,311.65,4.15061E-14
8.6,311.75,4.16605E-14
8.7,311.85,4.18154E-14
8.8,311.95,4.19708E-14
8.9,312.05,4.21267E-14
9,312.15,4.2283E-14
9.1,312.25,4.24399E-14
9.2,312.35,4.25972E-14
9.3,312.45,4.2755E-14
9.4,312.55,4.29132E-14
9.5,312.65,4.3072E-14
9.6,312.75,4.32312E-14
9.7,312.85,4.33909E-14
9.8,312.95,4.35512E-14
9.9,313.05,4.37119E-14
10,313.15,4.38731E-14
