Temp (K),El conc (kmol/m^3),kappa (S/m)
303.15,0,0
,0.05,0.105267889
,0.1,0.203026951
,0.15,0.293559744
,0.2,0.377143824
,0.25,0.454051744
,0.3,0.524551057
,0.35,0.588904313
,0.4,0.647369059
,0.45,0.700197843
,0.5,0.747638208
,0.55,0.789932697
,0.6,0.827318851
,0.65,0.860029209
,0.7,0.888291307
,0.75,0.912327681
,0.8,0.932355863
,0.85,0.948588386
,0.9,0.961232777
,0.95,0.970491565
,1,0.976562276
,1.05,0.979637432
,1.1,0.979904556
,1.15,0.977546168
,1.2,0.972739785
,1.25,0.965657924
,1.3,0.956468099
,1.35,0.945332823
,1.4,0.932409605
,1.45,0.917850955
,1.5,0.901804379
,1.55,0.884412382
,1.6,0.865812466
,1.65,0.846137134
,1.7,0.825513883
,1.75,0.804065212
,1.8,0.781908616
,1.85,0.759156587
,1.9,0.735916619
,1.95,0.712291199
,2,0.688377817
,2.05,0.664268959
,2.1,0.640052107
,2.15,0.615809745
,2.2,0.591619353
,2.25,0.567553409
,2.3,0.543679389
,2.35,0.520059769
,2.4,0.49675202
,2.45,0.473808614
,2.5,0.45127702
,2.55,0.429199705
,2.6,0.407614133
,2.65,0.386552769
,2.7,0.366043073
,2.75,0.346107506
,2.8,0.326763524
,2.85,0.308023584
,2.9,0.289895139
,2.95,0.272380642
,3,0.255477541
