x,V,x,V
0.00E+00,1.150454,0.00E+00,1.170454
3.70E-03,1.053864,3.70E-03,1.073864
7.40E-03,0.939117,7.40E-03,0.959117
1.11E-02,0.844511,1.11E-02,0.864511
1.48E-02,0.755856,1.48E-02,0.775856
1.85E-02,0.6878,1.85E-02,0.7078
2.22E-02,0.62829,2.22E-02,0.64829
2.59E-02,0.577478,2.59E-02,0.597478
2.96E-02,0.533227,2.96E-02,0.553227
3.33E-02,0.494621,3.33E-02,0.514621
3.70E-02,0.463035,3.70E-02,0.483035
4.07E-02,0.432364,4.07E-02,0.452364
4.44E-02,0.404593,4.44E-02,0.424593
4.81E-02,0.378958,4.81E-02,0.398958
5.18E-02,0.357748,5.18E-02,0.377748
5.55E-02,0.336233,5.55E-02,0.356233
5.92E-02,0.316396,5.92E-02,0.336396
6.29E-02,0.298085,6.29E-02,0.318085
6.66E-02,0.282673,6.66E-02,0.302673
7.03E-02,0.266651,7.03E-02,0.286651
7.40E-02,0.252613,7.40E-02,0.272613
7.77E-02,0.239033,1.15E-01,0.223632
8.14E-02,0.227741,1.18E-01,0.223174
8.51E-02,0.217365,1.22E-01,0.222411
8.88E-02,0.209735,1.26E-01,0.221648
9.25E-02,0.207141,1.29E-01,0.22058
9.62E-02,0.206226,1.33E-01,0.219359
9.98E-02,0.205768,1.37E-01,0.217986
1.04E-01,0.20531,1.41E-01,0.216307
1.07E-01,0.204852,1.44E-01,0.214629
1.11E-01,0.204395,1.48E-01,0.212645
1.15E-01,0.203632,1.52E-01,0.210051
1.18E-01,0.203174,1.55E-01,0.207304
1.22E-01,0.202411,1.59E-01,0.204253
1.26E-01,0.201648,1.63E-01,0.201353
1.29E-01,0.20058,1.66E-01,0.197996
1.33E-01,0.199359,1.70E-01,0.194792
1.37E-01,0.197986,1.74E-01,0.19174
1.41E-01,0.196307,1.78E-01,0.188688
1.44E-01,0.194629,1.81E-01,0.185942
1.48E-01,0.192645,1.85E-01,0.18289
1.52E-01,0.190051,1.89E-01,0.179686
1.55E-01,0.187304,1.92E-01,0.176786
1.59E-01,0.184253,1.96E-01,0.173124
1.63E-01,0.181353,2.00E-01,0.170378
1.66E-01,0.177996,2.03E-01,0.168089
1.70E-01,0.174792,2.07E-01,0.165953
1.74E-01,0.17174,2.11E-01,0.164121
1.78E-01,0.168688,2.14E-01,0.161527
1.81E-01,0.165942,2.18E-01,0.158933
1.85E-01,0.16289,2.22E-01,0.155882
1.89E-01,0.159686,2.26E-01,0.15283
1.92E-01,0.156786,2.29E-01,0.149625
1.96E-01,0.153124,2.33E-01,0.147031
2.00E-01,0.150378,2.37E-01,0.145658
2.03E-01,0.148089,2.40E-01,0.144895
2.07E-01,0.145953,2.44E-01,0.144285
2.11E-01,0.144121,2.48E-01,0.143369
2.14E-01,0.141527,2.51E-01,0.142606
2.18E-01,0.138933,2.55E-01,0.141996
2.22E-01,0.135882,2.59E-01,0.141233
2.26E-01,0.13283,2.63E-01,0.140165
2.29E-01,0.129625,2.66E-01,0.139402
2.33E-01,0.127031,2.70E-01,0.139249
2.37E-01,0.125658,2.74E-01,0.138639
2.40E-01,0.124895,2.77E-01,0.138181
2.44E-01,0.124285,2.81E-01,0.137876
2.48E-01,0.123369,2.85E-01,0.137418
2.51E-01,0.122606,2.88E-01,0.137113
2.55E-01,0.121996,2.92E-01,0.137113
2.59E-01,0.121233,2.96E-01,0.13696
2.63E-01,0.120165,3.00E-01,0.136655
2.66E-01,0.119402,3.03E-01,0.136503
2.70E-01,0.119249,3.07E-01,0.13635
2.74E-01,0.118639,3.11E-01,0.136197
2.77E-01,0.118181,3.14E-01,0.136197
2.81E-01,0.117876,3.18E-01,0.136045
2.85E-01,0.117418,3.22E-01,0.13574
2.88E-01,0.117113,3.25E-01,0.135587
2.92E-01,0.117113,3.29E-01,0.135435
2.96E-01,0.11696,3.33E-01,0.135282
3.00E-01,0.116655,3.37E-01,0.135282
3.03E-01,0.116503,3.40E-01,0.135129
3.07E-01,0.11635,3.44E-01,0.134977
3.11E-01,0.116197,3.48E-01,0.134672
3.14E-01,0.116197,3.51E-01,0.134672
3.18E-01,0.116045,3.55E-01,0.134519
3.22E-01,0.11574,3.59E-01,0.134519
3.25E-01,0.115587,3.62E-01,0.134519
3.29E-01,0.115435,3.66E-01,0.134214
3.33E-01,0.115282,3.70E-01,0.134214
3.37E-01,0.115282,3.74E-01,0.134214
3.40E-01,0.115129,3.77E-01,0.134061
3.44E-01,0.114977,3.81E-01,0.133909
3.48E-01,0.114672,3.85E-01,0.133909
3.51E-01,0.114672,3.88E-01,0.133603
3.55E-01,0.114519,3.92E-01,0.133603
3.59E-01,0.114519,3.96E-01,0.133451
3.62E-01,0.114519,3.99E-01,0.133146
3.66E-01,0.114214,4.03E-01,0.133146
3.70E-01,0.114214,4.07E-01,0.132993
3.74E-01,0.114214,4.10E-01,0.13284
3.77E-01,0.114061,4.14E-01,0.132688
3.81E-01,0.113909,4.18E-01,0.132535
3.85E-01,0.113909,4.22E-01,0.13223
3.88E-01,0.113603,4.25E-01,0.13223
3.92E-01,0.113603,4.29E-01,0.132078
3.96E-01,0.113451,4.33E-01,0.131772
3.99E-01,0.113146,4.36E-01,0.13162
4.03E-01,0.113146,4.40E-01,0.131467
4.07E-01,0.112993,4.44E-01,0.131162
4.10E-01,0.11284,4.47E-01,0.131009
4.14E-01,0.112688,4.51E-01,0.130704
4.18E-01,0.112535,4.55E-01,0.130246
4.22E-01,0.11223,4.59E-01,0.129789
4.25E-01,0.11223,4.62E-01,0.129331
4.29E-01,0.112078,4.66E-01,0.129026
4.33E-01,0.111772,4.70E-01,0.128721
4.36E-01,0.11162,4.73E-01,0.127805
4.40E-01,0.111467,4.77E-01,0.127347
4.44E-01,0.111162,4.81E-01,0.126889
4.47E-01,0.111009,4.84E-01,0.125974
4.51E-01,0.110704,4.88E-01,0.124906
4.55E-01,0.110246,4.92E-01,0.123838
4.59E-01,0.109789,4.96E-01,0.122617
4.62E-01,0.109331,4.99E-01,0.121091
4.66E-01,0.109026,5.03E-01,0.119107
4.70E-01,0.108721,5.07E-01,0.116818
4.73E-01,0.107805,5.10E-01,0.114377
4.77E-01,0.107347,5.14E-01,0.110867
4.81E-01,0.106889,5.18E-01,0.107968
4.84E-01,0.105974,5.21E-01,0.105527
4.88E-01,0.104906,5.25E-01,0.103696
4.92E-01,0.103838,5.29E-01,0.102322
4.96E-01,0.102617,5.33E-01,0.102017
4.99E-01,0.101091,5.36E-01,0.102017
5.03E-01,0.099107,5.40E-01,0.101865
5.07E-01,0.096818,5.44E-01,0.101712
5.10E-01,0.094377,5.47E-01,0.101712
5.14E-01,0.090867,5.51E-01,0.101712
5.18E-01,0.087968,5.55E-01,0.101712
5.21E-01,0.085527,5.58E-01,0.101712
5.25E-01,0.083696,5.62E-01,0.101712
5.29E-01,0.082322,5.66E-01,0.101712
5.33E-01,0.082017,5.70E-01,0.101712
5.36E-01,0.082017,5.73E-01,0.101712
5.40E-01,0.081865,5.77E-01,0.101712
5.44E-01,0.081712,5.81E-01,0.101559
5.47E-01,0.081712,5.84E-01,0.101559
5.51E-01,0.081712,5.88E-01,0.101559
5.55E-01,0.081712,5.92E-01,0.101559
5.58E-01,0.081712,5.95E-01,0.101559
5.62E-01,0.081712,5.99E-01,0.101559
5.66E-01,0.081712,6.03E-01,0.101559
5.70E-01,0.081712,6.06E-01,0.101559
5.73E-01,0.081712,6.10E-01,0.101559
5.77E-01,0.081712,6.14E-01,0.101559
5.81E-01,0.081559,6.18E-01,0.101559
5.84E-01,0.081559,6.21E-01,0.101559
5.88E-01,0.081559,6.25E-01,0.101407
5.92E-01,0.081559,6.29E-01,0.101407
5.95E-01,0.081559,6.32E-01,0.101407
5.99E-01,0.081559,6.36E-01,0.101407
6.03E-01,0.081559,6.40E-01,0.101407
6.06E-01,0.081559,6.43E-01,0.101407
6.10E-01,0.081559,6.47E-01,0.101407
6.14E-01,0.081559,6.51E-01,0.101407
6.18E-01,0.081559,6.55E-01,0.101254
6.21E-01,0.081559,6.58E-01,0.101254
6.25E-01,0.081407,6.62E-01,0.101254
6.29E-01,0.081407,6.66E-01,0.101254
6.32E-01,0.081407,6.69E-01,0.101254
6.36E-01,0.081407,6.73E-01,0.101102
6.40E-01,0.081407,6.77E-01,0.101102
6.43E-01,0.081407,6.80E-01,0.101102
6.47E-01,0.081407,6.84E-01,0.101102
6.51E-01,0.081407,6.88E-01,0.101102
6.55E-01,0.081254,6.92E-01,0.100949
6.58E-01,0.081254,6.95E-01,0.100949
6.62E-01,0.081254,6.99E-01,0.100949
6.66E-01,0.081254,7.03E-01,0.100949
6.69E-01,0.081254,7.06E-01,0.100797
6.73E-01,0.081102,7.10E-01,0.100797
6.77E-01,0.081102,7.14E-01,0.100797
6.80E-01,0.081102,7.17E-01,0.100644
6.84E-01,0.081102,7.21E-01,0.100644
6.88E-01,0.081102,7.25E-01,0.100644
6.92E-01,0.080949,7.29E-01,0.100644
6.95E-01,0.080949,7.32E-01,0.100491
6.99E-01,0.080949,7.36E-01,0.100491
7.03E-01,0.080949,7.40E-01,0.100339
7.06E-01,0.080797,7.43E-01,0.100339
7.10E-01,0.080797,7.47E-01,0.100339
7.14E-01,0.080797,7.51E-01,0.100339
7.17E-01,0.080644,7.54E-01,0.100186
7.21E-01,0.080644,7.58E-01,0.100186
7.25E-01,0.080644,7.62E-01,0.100186
7.29E-01,0.080644,7.66E-01,0.100034
7.32E-01,0.080491,7.69E-01,0.100034
7.36E-01,0.080491,7.73E-01,0.099728
7.40E-01,0.080339,7.77E-01,0.099728
7.43E-01,0.080339,7.80E-01,0.099728
7.47E-01,0.080339,7.84E-01,0.099728
7.51E-01,0.080339,7.88E-01,0.099728
7.54E-01,0.080186,7.91E-01,0.099576
7.58E-01,0.080186,7.95E-01,0.099423
7.62E-01,0.080186,7.99E-01,0.099423
7.66E-01,0.080034,8.02E-01,0.099118
7.69E-01,0.080034,8.06E-01,0.099118
7.73E-01,0.079728,8.10E-01,0.099118
7.77E-01,0.079728,8.14E-01,0.098813
7.80E-01,0.079728,8.17E-01,0.09866
7.84E-01,0.079728,8.21E-01,0.098508
7.88E-01,0.079728,8.25E-01,0.098355
7.91E-01,0.079576,8.28E-01,0.098202
7.95E-01,0.079423,8.32E-01,0.097897
7.99E-01,0.079423,8.36E-01,0.097745
8.02E-01,0.079118,8.39E-01,0.097592
8.06E-01,0.079118,8.43E-01,0.097287
8.10E-01,0.079118,8.47E-01,0.096982
8.14E-01,0.078813,8.51E-01,0.096677
8.17E-01,0.07866,8.54E-01,0.096371
8.21E-01,0.078508,8.58E-01,0.095761
8.25E-01,0.078355,8.62E-01,0.095456
8.28E-01,0.078202,8.65E-01,0.094846
8.32E-01,0.077897,8.69E-01,0.094693
8.36E-01,0.077745,8.73E-01,0.094235
8.39E-01,0.077592,8.76E-01,0.093625
8.43E-01,0.077287,8.80E-01,0.093014
8.47E-01,0.076982,8.84E-01,0.092404
8.51E-01,0.076677,8.88E-01,0.091794
8.54E-01,0.076371,8.91E-01,0.090878
8.58E-01,0.075761,8.95E-01,0.089963
8.62E-01,0.075456,8.99E-01,0.089047
8.65E-01,0.074846,9.02E-01,0.088437
8.69E-01,0.074693,9.06E-01,0.087063
8.73E-01,0.074235,9.10E-01,0.085995
8.76E-01,0.073625,9.13E-01,0.084469
8.80E-01,0.073014,9.17E-01,0.083249
8.84E-01,0.072404,9.21E-01,0.081723
8.88E-01,0.071794,9.25E-01,0.079892
8.91E-01,0.070878,9.28E-01,0.077908
8.95E-01,0.069963,9.32E-01,0.076229
8.99E-01,0.069047,9.36E-01,0.073788
9.02E-01,0.068437,9.39E-01,0.071499
9.06E-01,0.067063,9.43E-01,0.0686
9.10E-01,0.065995,9.47E-01,0.066006
9.13E-01,0.064469,9.50E-01,0.062649
9.17E-01,0.063249,9.54E-01,0.059139
9.21E-01,0.061723,9.58E-01,0.055172
9.25E-01,0.059892,9.62E-01,0.051205
9.28E-01,0.057908,9.65E-01,0.046932
9.32E-01,0.056229,9.69E-01,0.042049
9.36E-01,0.053788,9.73E-01,0.037014
9.39E-01,0.051499,9.76E-01,0.031673
9.43E-01,0.0486,9.80E-01,0.02679
9.47E-01,0.046006,,
9.50E-01,0.042649,,
9.54E-01,0.039139,,
9.58E-01,0.035172,,
9.62E-01,0.031205,,
9.65E-01,0.026932,,
9.69E-01,0.022049,,
9.73E-01,0.017014,,
9.76E-01,0.011673,,
9.80E-01,0.00679,,
,,,
