Temp (K),El conc (kmol/m^3),x_surf,i0
303.15,1.2,0,0
,,0.01,2.246150217
,,0.02,3.16045227
,,0.03,3.850948358
,,0.04,4.423711667
,,0.05,4.920032878
,,0.06,5.361184486
,,0.07,5.759856909
,,0.08,6.124351482
,,0.09,6.460455673
,,0.1,6.772397721
,,0.11,7.063379589
,,0.12,7.33589589
,,0.13,7.591935376
,,0.14,7.833113936
,,0.15,8.060765602
,,0.16,8.276006718
,,0.17,8.479782382
,,0.18,8.672900798
,,0.19,8.856059181
,,0.2,9.029863628
,,0.21,9.194844588
,,0.22,9.351469073
,,0.23,9.500150399
,,0.24,9.641256056
,,0.25,9.775114118
,,0.26,9.902018514
,,0.27,10.0222334
,,0.28,10.13599678
,,0.29,10.24352363
,,0.3,10.3450084
,,0.31,10.44062729
,,0.32,10.53054009
,,0.33,10.61489179
,,0.34,10.69381401
,,0.35,10.76742612
,,0.36,10.83583635
,,0.37,10.89914265
,,0.38,10.95743349
,,0.39,11.01078851
,,0.4,11.05927917
,,0.41,11.10296918
,,0.42,11.14191503
,,0.43,11.17616631
,,0.44,11.20576607
,,0.45,11.23075109
,,0.46,11.2511521
,,0.47,11.26699402
,,0.48,11.27829606
,,0.49,11.28507184
,,0.5,11.28732953
,,0.51,11.28507184
,,0.52,11.27829606
,,0.53,11.26699402
,,0.54,11.2511521
,,0.55,11.23075109
,,0.56,11.20576607
,,0.57,11.17616631
,,0.58,11.14191503
,,0.59,11.10296918
,,0.6,11.05927917
,,0.61,11.01078851
,,0.62,10.95743349
,,0.63,10.89914265
,,0.64,10.83583635
,,0.65,10.76742612
,,0.66,10.69381401
,,0.67,10.61489179
,,0.68,10.53054009
,,0.69,10.44062729
,,0.7,10.3450084
,,0.71,10.24352363
,,0.72,10.13599678
,,0.73,10.0222334
,,0.74,9.902018514
,,0.75,9.775114118
,,0.76,9.641256056
,,0.77,9.500150399
,,0.78,9.351469073
,,0.79,9.194844588
,,0.8,9.029863628
,,0.81,8.856059181
,,0.82,8.672900798
,,0.83,8.479782382
,,0.84,8.276006718
,,0.85,8.060765602
,,0.86,7.833113936
,,0.87,7.591935376
,,0.88,7.33589589
,,0.89,7.063379589
,,0.9,6.772397721
,,0.91,6.460455673
,,0.92,6.124351482
,,0.93,5.759856909
,,0.94,5.361184486
,,0.95,4.920032878
,,0.96,4.423711667
,,0.97,3.850948358
,,0.98,3.16045227
,,0.99,2.246150217
,,1,0
